adduct,mz,rt,name
M+H,549.2804,21.92,ANTIMYCIN A1
M+H,535.2647,18.42,ANTIMYCIN A2
M+H,521.2493,15.96,ANTIMYCIN A3
,415.1585,6.82,APTELATOSIDE A
M+H-H2O,133.0495,0.73,ARABINOSE-H2O
M+Na,173.042,0.73,ARABINOSE+Na
M+H,305.24667,16.2,ARACHIDONIC ACID
[M+Na],327.22864,16.2,ARACHIDONIC ACID+Na
M+H,177.03936,1.14,ASCORBATE
M+2H,263.087,0.93,ASP-GLU
M+H,134.04478,0.71,ASPARTATE
M+H,189.1121,7.8,AZELAIC ACID
M+H-H2O,171.1016,7.8,AZELAIC ACID-H2O
M+Na,211.0941,7.8,AZELAIC ACID+Na
M+H,229.0859,8.06,BENZOPHENONE
M+H,313.143,14.97,Benzyl butyl pthalate (BzBP)
M+H,108.0808,4.43,BENZYLAMINE
M+H-NH3,91.0542,4.43,BENZYLAMINE-NH3
M+H,90.055,0.68,BETA-ALANINE
M+H-H2O,72.0444,0.68,BETA-ALANINE-H2O
M+Na,112.0369,0.68,BETA-ALANINE+Na
M+Na,431.2768,9.52,BETA-MURICHOLIC ACID+Na
M+Na,140.0682,0.82,BETAINE+Na
M+H,245.0954,6.72,BIOTIN
M+H-H2O,227.0849,6.72,BIOTIN-H2O
M+Na,267.0774,6.72,BIOTIN+Na
M+H,391.28293,36.95,Bis(2-ethylhexyl) phthalate
M+H,132.1495,0.56,BIS(3-AMINOPROPYL)AMINE
M+H-H2O,130.1339,0.64,BIS(3-AMINOPROPYL)AMINE-H2O
M+H-NH3,115.123,0.56,BIS(3-AMINOPROPYL)AMINE-NH3
,166.08626,9.97,BOC-D-Phenylalanine
M+Na,288.1212,9.97,BOC-D-Phenylalanine+Na
,182.08117,8.53,BOC-L-Tyrosine
M+Na,304.11612,8.53,BOC-L-Tyrosine+Na
M+H,73.0648,8.78,BUTANAL
M+H,232.1543,6.19,BUTANOYLCARNITINE
M+Na,254.1363,6.19,BUTANOYLCARNITINE+Na
,146.1181,1.1,BUTYROBETAINE
M+H,232.1549,6.11,BUTYRYLCARNITINE
,235.17253,6.13,BUTYRYLCARNITINE D9
M+Na,254.1363,6.12,BUTYRYLCARNITINE+Na
M+Na,175.0577,0.73,C5-SUGAR ALCOHOL 
M+H,181.0495,6.96,CAFFEATE
M+H-H2O,163.039,6.96,CAFFEATE-H2O
M+H,195.0877,6.59,CAFFEINE
,198.09827,6.51,CAFFEINE 13C3
,198.10704,6.49,CAFFEINE-D3
,153.12721,8.37,CAMPHOR
M+H,145.1223,7.62,CAPRYLIC ACID
M+H,306.2058,10.81,CAPSAICIN
,308.2214,11.31,CAPSAICIN +2H
M+H,227.1139,0.68,CARNOSINE
M+H-H2O,209.1033,0.68,CARNOSINE-H2O
M+H-NH3,210.0873,0.68,CARNOSINE-NH3
M+Na,249.0958,0.68,CARNOSINE+Na
M+H-H2O,135.117,7.6,CARVEOL
M+H,291.0848,6.65,CATECHIN
M+H,111.0441,11.91,CATECHOL
M+Na,365.1054,0.77,CELLOBIOSE
M+H-H2O,325.1129,0.77,CELLOBIOSE_H2O
M+H-2H2O,357.2776,10.82,CHENODEOXYCHOLATE-2H2O
M+H-H2O,375.2894,10.82,CHENODEOXYCHOLATE-H2O
Dimer,899.6343,9.84,CHENODEOXYCHOLGLYCINE-Dimer
Dimer,785.5906,10.81,CHENODEOXYCHOLIC ACID-dimer
M+H,450.3201,9.84,CHENODEOXYCHOLYGLYCINE (GCDCA)
M+H-2H2O,414.2992,9.84,CHENODEOXYCHOLYGLYCINE (GCDCA)-2H2O
M+H-H2O,432.3099,9.84,CHENODEOXYCHOLYGLYCINE (GCDCA)-H2O
M+H-2H2O,373.2722,9.73,CHOLATE-2H2O
Dimer,817.5801,9.69,CHOLATE-dimer
M+H-H2O,391.2827,9.73,CHOLATE-H2O
M+H-H2O,391.2843,9.73,CHOLATE-H2O
M+Na,431.2768,9.73,CHOLATE+Na
M+NH4,426.3197,9.73,CHOLATE+NH4
M-e,104.107,0.76,CHOLINE
,221.18,0.79,CHOLINE-Dimer
